date,close
2014/3/21,2781.36 
2014/3/28,2714.30 
2014/4/4,2781.04 
2014/4/11,2841.58 
2014/4/18,2821.33 
2014/4/25,2706.31 
2014/4/30,2689.95 
2014/5/9,2653.52 
2014/5/16,2658.11 
2014/5/23,2698.97 
2014/5/30,2735.16 
2014/6/6,2718.54 
2014/6/13,2777.24 
2014/6/20,2701.27 
2014/6/27,2769.41 
2014/7/4,2816.62 
2014/7/11,2779.69 
2014/7/18,2777.66 
2014/7/25,2845.56 
2014/8/1,2940.07 
2014/8/8,2991.20 
2014/8/15,3041.27 
2014/8/22,3104.89 
2014/8/29,3047.38 
2014/9/5,3189.03 
2014/9/12,3207.08 
2014/9/19,3170.26 
2014/9/26,3196.41 
2014/9/30,3229.94 
2014/10/10,3272.66 
2014/10/17,3216.81 
2014/10/24,3143.27 
2014/10/31,3260.21 
2014/11/7,3258.92 
2014/11/14,3227.62 
2014/11/21,3280.28 
2014/11/28,3467.52 
2014/12/5,3687.98 
2014/12/12,3819.04 
2014/12/19,3826.97 
2014/12/26,3808.57 
2014/12/31,3800.54 
2015/1/9,3893.17 
2015/1/16,3994.60 
2015/1/23,4035.65 
2015/1/30,3988.06 
2015/2/6,3912.81 
2015/2/13,4122.50 
2015/2/17,4230.86 
2015/2/27,4281.71 
2015/3/6,4259.24 
2015/3/13,4397.91 
2015/3/20,4716.54 
2015/3/27,4903.62 
2015/4/3,5219.72 
2015/4/10,5347.48 
2015/4/17,5358.55 
2015/4/24,5651.58 
2015/4/30,5714.60 
2015/5/8,5617.14 
2015/5/15,5900.59 
2015/5/22,6503.12 
2015/5/29,6500.71 
2015/6/5,7100.03 
2015/6/12,7257.23 
2015/6/19,6298.82 
2015/6/26,5778.23 
2015/7/3,4957.94 
2015/7/10,4908.18 
2015/7/17,5286.35 
2015/7/24,5445.70 
2015/7/31,5005.91 
2015/8/7,5151.12 
2015/8/14,5423.51 
2015/8/21,4809.64 
2015/8/28,4366.19 
2015/9/2,4123.03 
2015/9/11,4239.32 
2015/9/18,3980.45 
2015/9/25,3996.81 
2015/9/30,4018.99 
2015/10/9,4237.42 
2015/10/16,4568.51 
2015/10/23,4652.85 
2015/10/30,4614.29 
2015/11/6,4926.47 
2015/11/13,4945.25 
2015/11/20,5042.33 
2015/11/27,4742.83 
2015/12/4,4912.65 
2015/12/11,4837.32 
2015/12/18,5110.42 
2015/12/25,5179.07 
2015/12/31,5040.53 
2016/1/8,4353.36 
2016/1/15,4011.77 
2016/1/22,4055.22 
2016/1/29,3802.89 
2016/2/5,3887.34 
2016/2/19,4068.86 
2016/2/26,3844.38 
2016/3/4,3850.69 
2016/3/11,3775.29 
2016/3/18,4059.35 
2016/3/25,4138.11 
2016/4/1,4150.63 
2016/4/8,4159.67 
2016/4/15,4283.81 
2016/4/22,4056.22 
2016/4/29,4055.47 
2016/5/6,4029.95 
2016/5/13,3909.18 
2016/5/20,3927.62 
2016/5/27,3926.43 
2016/6/3,4133.02 
2016/6/8,4113.67 
2016/6/17,4054.26 
2016/6/24,4027.83 
2016/7/1,4148.17 
2016/7/8,4203.63 
2016/7/15,4298.25 
2016/7/22,4251.86 
2016/7/29,4116.09 
2016/8/5,4128.13 
2016/8/12,4207.71 
2016/8/19,4342.62 
2016/8/26,4264.90 
2016/9/2,4246.40 
2016/9/9,4287.09 
2016/9/14,4163.13 
2016/9/23,4227.11 
2016/9/30,4209.54 
2016/10/14,4281.68 
2016/10/21,4277.68 
2016/10/28,4270.26 
2016/11/4,4267.32 
2016/11/11,4341.66 
2016/11/18,4344.67 
2016/11/25,4417.42 
2016/12/2,4378.38 
2016/12/9,4318.22 
2016/12/16,4137.09 
2016/12/23,4072.66 
2016/12/30,4063.20 
2017/1/6,4109.56 
2017/1/13,4009.50 
2017/1/20,3983.65 
2017/1/26,4036.62 
2017/2/3,4016.08 
2017/2/10,4084.68 
2017/2/17,4100.27 
2017/2/24,4193.06 
2017/3/3,4172.81 
2017/3/10,4196.91 
2017/3/17,4222.18 
2017/3/24,4287.49 
2017/3/31,4210.14 
2017/4/7,4303.12 
2017/4/14,4250.13 
2017/4/21,4187.02 
2017/4/28,4156.48 
