date,close
2012/9/20,2578.70 
2012/9/21,2570.44 
2012/9/24,2597.09 
2012/9/25,2586.38 
2012/9/26,2539.14 
2012/9/27,2614.60 
2012/9/28,2668.72 
2012/10/8,2640.03 
2012/10/9,2706.08 
2012/10/10,2725.57 
2012/10/11,2691.15 
2012/10/12,2686.06 
2012/10/15,2672.21 
2012/10/16,2677.82 
2012/10/17,2680.05 
2012/10/18,2728.22 
2012/10/19,2726.01 
2012/10/22,2736.39 
2012/10/23,2700.32 
2012/10/24,2690.65 
2012/10/25,2667.79 
2012/10/26,2613.13 
2012/10/29,2605.57 
2012/10/30,2610.07 
2012/10/31,2625.67 
2012/11/1,2677.64 
2012/11/2,2684.66 
2012/11/5,2671.77 
2012/11/6,2653.01 
2012/11/7,2647.10 
2012/11/8,2588.35 
2012/11/9,2576.85 
2012/11/12,2588.29 
2012/11/13,2537.01 
2012/11/14,2547.79 
2012/11/15,2509.97 
2012/11/16,2491.29 
2012/11/19,2487.71 
2012/11/20,2485.48 
2012/11/21,2514.50 
2012/11/22,2485.35 
2012/11/23,2495.17 
2012/11/26,2461.76 
2012/11/27,2407.97 
2012/11/28,2369.75 
2012/11/29,2352.33 
2012/11/30,2382.02 
2012/12/3,2331.31 
2012/12/4,2362.15 
2012/12/5,2451.77 
2012/12/6,2445.61 
2012/12/7,2490.08 
2012/12/10,2523.20 
2012/12/11,2509.00 
2012/12/12,2510.74 
2012/12/13,2485.00 
2012/12/14,2592.96 
2012/12/17,2603.54 
2012/12/18,2598.49 
2012/12/19,2615.00 
2012/12/20,2631.82 
2012/12/21,2628.57 
2012/12/24,2635.38 
2012/12/25,2703.70 
2012/12/26,2731.15 
2012/12/27,2720.16 
2012/12/28,2747.49 
2012/12/31,2778.21 
2013/1/4,2761.98 
2013/1/7,2775.06 
2013/1/8,2794.85 
2013/1/9,2805.77 
2013/1/10,2814.65 
2013/1/11,2761.02 
2013/1/14,2859.42 
2013/1/15,2900.06 
2013/1/16,2894.09 
2013/1/17,2870.96 
2013/1/18,2919.16 
2013/1/21,2943.78 
2013/1/22,2916.40 
2013/1/23,2922.38 
2013/1/24,2874.01 
2013/1/25,2863.82 
2013/1/28,2941.80 
2013/1/29,2965.56 
2013/1/30,2980.08 
2013/1/31,2959.07 
2013/2/1,2994.16 
2013/2/4,2973.74 
2013/2/5,3017.43 
2013/2/6,3023.66 
2013/2/7,3037.30 
2013/2/8,3073.91 
2013/2/18,3053.09 
2013/2/19,2984.25 
2013/2/20,3032.07 
2013/2/21,2956.28 
2013/2/22,2943.98 
2013/2/25,2960.21 
2013/2/26,2917.42 
2013/2/27,2937.19 
2013/2/28,3014.14 
2013/3/1,3032.15 
2013/3/4,2906.37 
2013/3/5,2973.40 
2013/3/6,3011.64 
2013/3/7,2983.94 
2013/3/8,2950.13 
2013/3/11,2950.67 
2013/3/12,2897.53 
2013/3/13,2869.41 
2013/3/14,2880.17 
2013/3/15,2887.76 
2013/3/18,2852.61 
2013/3/19,2860.07 
2013/3/20,2944.49 
2013/3/21,2965.33 
2013/3/22,2973.23 
2013/3/25,2966.48 
2013/3/26,2940.04 
2013/3/27,2946.42 
2013/3/28,2869.69 
2013/3/29,2857.90 
2013/4/1,2876.87 
2013/4/2,2852.90 
2013/4/3,2839.19 
2013/4/8,2849.35 
2013/4/9,2869.91 
2013/4/10,2859.02 
2013/4/11,2849.09 
2013/4/12,2826.71 
2013/4/15,2791.42 
2013/4/16,2827.01 
2013/4/17,2850.77 
2013/4/18,2856.38 
2013/4/19,2921.99 
2013/4/22,2928.11 
2013/4/23,2843.71 
2013/4/24,2901.76 
2013/4/25,2849.55 
2013/4/26,2811.49 
2013/5/2,2827.00 
2013/5/3,2879.44 
2013/5/6,2932.58 
2013/5/7,2940.38 
2013/5/8,2968.90 
2013/5/9,2971.14 
2013/5/10,2978.89 
2013/5/13,2974.21 
2013/5/14,2924.99 
2013/5/15,2959.45 
2013/5/16,3005.90 
2013/5/17,3054.49 
2013/5/20,3085.63 
2013/5/21,3119.57 
2013/5/22,3105.11 
2013/5/23,3075.34 
2013/5/24,3111.17 
2013/5/27,3122.38 
2013/5/28,3149.38 
2013/5/29,3159.44 
2013/5/30,3157.04 
2013/5/31,3121.56 
2013/6/3,3104.66 
2013/6/4,3045.56 
2013/6/5,3056.68 
2013/6/6,3015.38 
2013/6/7,2953.62 
2013/6/13,2858.71 
2013/6/14,2906.91 
2013/6/17,2902.11 
2013/6/18,2916.33 
2013/6/19,2901.36 
2013/6/20,2798.46 
2013/6/21,2787.98 
2013/6/24,2604.09 
2013/6/25,2588.47 
2013/6/26,2640.68 
2013/6/27,2609.23 
2013/6/28,2630.88 
